"","cod_loc","nomb_loc","cod_upz","nom_upz","area_urbana","poblacion_u","densidad_ur","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_COD_UPZ_EM","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_UPZ","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NomUPZ","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_mujer","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_hombre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jefe_Hogar_Mujer","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jefe_Hogar_Hombre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInf_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInf_NiÃ±os_5_17_aÃ±os_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInfampliado_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInfampliado_NiÃ±os_5_17_aÃ±os_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os_NINI","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os_NINI_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NiÃ±os_0_14_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_65_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Indice_Envegecimiento","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_60_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_60_aÃ±os_en_Hogar_Pobre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Indigena","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Gitano","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Raizal","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Palenquera","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Afro","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_PoblaciÃ³n_discapacitada","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_mismosexo","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_Victimas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_Victimas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_con_poblac_discapacitada","p0","p1","p2","p3","p4","p5","pt","q.p0","q.p1","q.p2","q.p3","q.p4","q.p5"
"1",2,"CHAPINERO",90,"PARDO RUBIO",285.199005156,37191,130.403680685,816,"UPZ90","PARDO RUBIO",53837,40997,40264,26683,12550,14132,5407,0,0,1631,30.2,10945,893,8.2,5816,4734,81.4,6535,380,0,0,256,0,119,1297,270,26,53,1083,10,20,4,2,1,4,42,0.238095238095238,0.476190476190476,0.0952380952380952,0.0476190476190476,0.0238095238095238,0.0952380952380952
"2",3,"SANTA FE",96,"LOURDES",200.137127152,46301,231.346380648,96,"UPZ96","LOURDES",41407,8610,8616,13187,5102,8085,8723,138,1.6,235,2.7,7135,1675,23.5,9479,3584,37.8,5175,1514,39,0,23,0,304,1756,13,61,211,1668,4,33,19,0,0,0,74,0.0540540540540541,0.445945945945946,0.256756756756757,0,0,0
"3",4,"SAN CRISTOBAL",50,"LA GLORIA",385.85775934,102299,265.121012922,50,"UPZ50","LA GLORIA",96710,22119,21721,31039,10726,20313,19243,503,2.6,565,2.9,17075,3951,23.1,21740,6978,32.1,9938,2626,334,0,0,0,1712,4659,74,208,930,4069,6,16,19,12,12,0,75,0.08,0.213333333333333,0.253333333333333,0.16,0.16,0
"4",5,"USME",61,"CIUDAD USME",925.470476509,13496,14.5828530921,811,"UPZ61","CIUDAD USME",81261,58080,57044,24097,11073,13023,19355,124,0.6,487,2.5,15065,4519,30,20583,3445,16.7,5325,2475,96,0,0,0,401,2959,0,110,219,2198,0,8,9,0,0,0,27,0,0.296296296296296,0.333333333333333,0,0,0
"5",6,"TUNJUELITO",42,"VENECIA",659.377024137,144420,219.024920058,42,"UPZ42","VENECIA",137971,71361,70088,47963,17679,30284,23735,311,1.3,1496,6.3,21874,4017,18.4,25659,10251,40,15422,3302,190,111,113,68,1930,4678,262,112,286,4184,12,19,30,44,32,5,147,0.0816326530612245,0.129251700680272,0.204081632653061,0.299319727891156,0.217687074829932,0.0340136054421769
"6",7,"BOSA",49,"APOGEO",210.583733352,38125,181.044373149,49,"UPZ49","APOGEO",56247,20773,20403,16992,5744,11248,9671,141,1.5,331,3.4,9837,1722,17.5,10165,3797,37.4,6098,755,27,0,21,0,349,1882,51,42,42,1726,4,9,10,7,1,3,34,0.117647058823529,0.264705882352941,0.294117647058824,0.205882352941176,0.0294117647058824,0.0882352941176471
"7",8,"KENNEDY",46,"CASTILLA",503.545836025,125411,249.0557781,802,"UPZ46","CASTILLA",166766,9813,9638,53489,20057,33432,29585,393,1.3,275,0.9,26627,3304,12.4,31612,10621,33.6,16382,841,0,91,0,0,1223,6703,155,94,94,5993,1,35,30,14,18,10,111,0.00900900900900901,0.315315315315315,0.27027027027027,0.126126126126126,0.162162162162162,0.0900900900900901
"8",8,"KENNEDY",47,"KENNEDY CENTRAL",337.213395794,96282,285.522465006,47,"UPZ47","KENNEDY CENTRAL",137082,45883,45060,43072,16266,26807,21484,130,0.6,1182,5.5,20997,3351,16,22976,13011,56.6,18640,3304,412,0,0,0,252,6037,249,426,1231,5414,1,17,16,22,27,27,114,0.0087719298245614,0.149122807017544,0.140350877192982,0.192982456140351,0.236842105263158,0.236842105263158
"9",8,"KENNEDY",81,"GRAN BRITALIA",179.902103852,70904,394.125463137,81,"UPZ81","GRAN BRITALIA",92200,46287,45462,29369,10744,18625,16880,191,1.1,789,4.7,16610,3785,22.8,18458,5458,29.6,8095,1930,185,0,0,0,685,2491,73,114,678,2224,6,8,18,4,4,7,52,0.115384615384615,0.153846153846154,0.346153846153846,0.0769230769230769,0.0769230769230769,0.134615384615385
"10",9,"FONTIBON",75,"FONTIBON",496.457437428,137489,276.94015566,75,"UPZ75","FONTIBON",179732,25417,24962,59643,18557,41086,29376,121,0.4,363,1.2,30120,4358,14.5,31670,14373,45.4,20993,3134,568,0,206,0,1138,10009,420,387,1444,8554,25,35,30,7,1,0,104,0.240384615384615,0.336538461538462,0.288461538461538,0.0673076923076923,0.00961538461538462,0
