"","OBJECTID","ID_ZONA_SI","NOMBRE_ZON","INGENIERO","OPERADOR_S","LOCALIDAD_","SERVICIOS_","globalid","st_area_sh","st_length_","p0","p1","p2","p3","p4","p5","pt","zonas_names","q.p0","q.p1","q.p2","q.p3","q.p4","q.p5"
"1",14,0,0,"0","0","0",0,"{321DD26F-92A2-43F5-B1F5-F9FABAF57C51}",95755885.7683179,50130.0587028045,75,215,225,196,97,55,934,"Neutra",0.0802997858672377,0.230192719486081,0.240899357601713,0.209850107066381,0.103854389721627,0.0588865096359743
"2",3,1,1,"DIEGO AVENDAUO","CONSORCIO EXPRESS S.A.S.","1, 2",1480,"{4AF26B7B-EE1F-4110-A674-360CEE902D25}",68654447.4994755,47139.781898547,51,248,197,179,47,13,755,"Usaquén",0.0675496688741722,0.328476821192053,0.260927152317881,0.237086092715232,0.0622516556291391,0.0172185430463576
"3",7,2,2,"ALEJANDRO MACHADO","MASIVO CAPITAL","11",291,"{699C0639-284C-4438-A38E-17F2C3FD8CCD}",59026620.0184846,49745.2777460883,20,117,59,42,15,8,279,"Suba Oriental",0.0716845878136201,0.419354838709677,0.211469534050179,0.150537634408602,0.0537634408602151,0.028673835125448
"4",8,3,3,"MARTHA IBAOEZ","EGOBUS","11",1424,"{5E91F032-58E9-4A88-B526-932C045FE836}",44050363.9259365,42922.2553612257,82,156,126,54,11,9,490,"Suba Centro",0.16734693877551,0.318367346938775,0.257142857142857,0.110204081632653,0.0224489795918367,0.0183673469387755
"5",11,4,4,"IVAN CANO","ESTE ES MI BUS S.A.S.","12",473,"{3B51F729-70D9-49D6-8E6E-E23CFE0F618D}",18203520.4621084,28701.9587406177,38,107,106,70,27,13,408,"Calle 80",0.0931372549019608,0.262254901960784,0.259803921568627,0.17156862745098,0.0661764705882353,0.0318627450980392
"6",9,5,5,"RUTH BORRERO","GMTVIL S.A.S.","10",823,"{0A1952B6-82E1-405B-94E6-31D47D94BE2B}",32252591.7003551,32451.669840932,32,100,95,103,90,28,510,"Engativá",0.0627450980392157,0.196078431372549,0.186274509803922,0.201960784313725,0.176470588235294,0.0549019607843137
"7",1,6,6,"RUTH BORRERO","OPERADOR DE TRANSPORTE SOLIDARIO COOBUS S.A.S.","9, 13",911,"{D448822D-32FB-4467-A247-9226A67B5B21}",29763016.6108617,31435.8180907254,52,117,80,55,39,11,398,"Fontibón",0.130653266331658,0.293969849246231,0.201005025125628,0.138190954773869,0.0979899497487437,0.0276381909547739
"8",4,7,7,"IVAN CANO","ESTE ES MI BUS S.A.S.","8, 16, 9",220,"{691872F4-2EFA-4D6B-AC85-125FCEF8DB09}",26858971.6992109,34661.8643296518,13,119,117,48,32,23,390,"Tintal-Zona Franca",0.0333333333333333,0.305128205128205,0.3,0.123076923076923,0.0820512820512821,0.058974358974359
"9",2,8,8,"ALEJANDRO MACHADO","MASIVO CAPITAL","8, 16, 14",1075,"{36FE2E92-5631-40A3-AE27-AA206A02703F}",30240118.3221132,38620.1400754395,32,131,149,108,45,49,576,"Kennedy",0.0555555555555556,0.227430555555556,0.258680555555556,0.1875,0.078125,0.0850694444444444
"10",10,9,9,"ALVARO PUERTO","EMPRESA DE TRANSPORTE INTEGRADO DE BOGOTA S.A.","7, 8, 16",1260,"{8F5AB6E5-8B17-48B8-BD32-D8A73449E67D}",27141840.7288404,31451.9537169303,63,191,132,87,69,85,666,"Bosa",0.0945945945945946,0.286786786786787,0.198198198198198,0.130630630630631,0.103603603603604,0.127627627627628
"11",12,10,10,"MARTHA IBAUEZ","EGOBUS","19, 6, 18, 15, 16, 8, 7",345,"{7BBAA40E-5D57-44CD-8DFC-C708F2435850}",16538250.3611057,22939.897558116,25,98,89,51,35,14,341,"Perdomo",0.0733137829912024,0.287390029325513,0.26099706744868,0.149560117302053,0.102639296187683,0.0410557184750733
"12",5,11,11,"ALVARO PUERTO","ORGANIZACIRN SUMMA S.A.S.","19, 6",708,"{49D332B9-AD6A-4FFA-9872-37D6819763E9}",131246395.042527,74454.0853267013,68,185,118,75,73,19,571,"Ciudad Bolívar",0.119089316987741,0.32399299474606,0.206654991243433,0.131348511383538,0.12784588441331,0.0332749562171629
"13",13,12,12,"MARLENY TORRES","TRANSPORTE ZONAL INTEGRADO TRANZIT S.A.S.","5",726,"{AED5DEDB-CF8B-46FB-9158-5ADE5036E799}",995924924.585706,287915.618869009,19,217,154,45,21,23,535,"Usme",0.0355140186915888,0.405607476635514,0.28785046728972,0.0841121495327103,0.0392523364485981,0.0429906542056075
"14",6,13,13,"DIEGO AVENDALO","CONSORCIO EXPRESS S.A.S.","4, 17, 3, 15",777,"{9669169F-D4C6-4948-B04B-AC0CF6DDCBBC}",62653564.807653,32658.9061868932,59,191,127,57,32,16,553,"San Cristóbal",0.106690777576854,0.345388788426763,0.229656419529837,0.103074141048825,0.0578661844484629,0.0289330922242315
