,Cenefas,Enlaces,id,Nombre,Other
0,001A01 - Br. Rincón del Chicó,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=7,001A01,Br. Rincón del Chicó,
1,001B01 - Br. Rincón del Chicó,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=8,001B01,Br. Rincón del Chicó,
2,093A02 - Br. Estoril,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=12,093A02,Br. Estoril,
3,093B02 - Br. Estoril,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=13,093B02,Br. Estoril,
4,093C02 - Br. Estoril,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=14,093C02,Br. Estoril,
5,122A01 - Autopista Norte,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=11,122A01,Autopista Norte,
6,136A02 - C.C. Iserra 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=15,136A02,C.C. Iserra 100,
7,136B02 - C.C. Iserra 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=16,136B02,C.C. Iserra 100,
8,136C02 - C.C. Iserra 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=17,136C02,C.C. Iserra 100,
9,158A01 - Br. Chicó Navarra,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=9,158A01,Br. Chicó Navarra,
10,160A01 - Escuela de Infantería,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=5,160A01,Escuela de Infantería,
11,160B01 - Escuela de Infantería,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=6,160B01,Escuela de Infantería,
12,161A01 - Urb. Conjunto de La 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3,161A01,Urb. Conjunto de La 100,
13,161B01 - Urb. Conjunto de La 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4,161B01,Urb. Conjunto de La 100,
14,162A01 - Escuela de Infantería,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1,162A01,Escuela de Infantería,
15,162B01 - Escuela de Infantería,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2,162B01,Escuela de Infantería,
16,173A03 - Br. Andes Norte,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=18,173A03,Br. Andes Norte,
17,173B03 - Br. Andes Norte,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=19,173B03,Br. Andes Norte,
18,173C03 - Pq. Andes Norte,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=20,173C03,Pq. Andes Norte,
19,242A01 - Br. Santa Bibiana,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=10,242A01,Br. Santa Bibiana,
20,001A00 - C.C. Iserra 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=36,001A00,C.C. Iserra 100,
21,001A03 - Br. Julio Flórez,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=21,001A03,Br. Julio Flórez,
22,001B00 - C.C. Iserra 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=37,001B00,C.C. Iserra 100,
23,001B03 - Br. Julio Flórez,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=22,001B03,Br. Julio Flórez,
24,001C00 - C.C. Iserra 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=38,001C00,C.C. Iserra 100,
25,001C03 - Br. Julio Flórez,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=23,001C03,Br. Julio Flórez,
26,165A03 - Estación Suba - Calle 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=33,165A03,Estación Suba,Calle 100
27,165B03 - Estación Suba - Calle 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=34,165B03,Estación Suba,Calle 100
28,165C03 - Estación Suba - Calle 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=35,165C03,Estación Suba,Calle 100
29,170A03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=27,170A03,Br. Los Andes,
30,170B03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=28,170B03,Br. Los Andes,
31,170C03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=29,170C03,Br. Los Andes,
32,171A03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=30,171A03,Br. Los Andes,
33,171B03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=31,171B03,Br. Los Andes,
34,171C03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=32,171C03,Br. Los Andes,
35,174A03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=24,174A03,Br. Los Andes,
36,174B03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=25,174B03,Br. Los Andes,
37,174C03 - Br. Los Andes,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=26,174C03,Br. Los Andes,
38,211A00 - Br. La Castellana,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=39,211A00,Br. La Castellana,
39,211B00 - Br. La Castellana,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=40,211B00,Br. La Castellana,
40,131A00 - Escuela de Infantería,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=53,131A00,Escuela de Infantería,
41,211C00 - Br. La Castellana,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=41,211C00,Br. La Castellana,
42,212A00 - Centro Empresarial Calle 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=42,212A00,Centro Empresarial Calle 100,
43,212B00 - Centro Empresarial Calle 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=43,212B00,Centro Empresarial Calle 100,
44,212C00 - Centro Empresarial Calle 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=44,212C00,Centro Empresarial Calle 100,
45,213A00 - Br. Chicó Norte III Sector,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=45,213A00,Br. Chicó Norte III Sector,
46,213B00 - Br. Chicó Norte III Sector,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=46,213B00,Br. Chicó Norte III Sector,
47,213C00 - Br. Chicó Norte III Sector,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=47,213C00,Br. Chicó Norte III Sector,
48,215A00 - Colsanitas CL 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=48,215A00,Colsanitas CL 100,
49,215B00 - Colsanitas CL 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=49,215B00,Colsanitas CL 100,
50,215C00 - Colsanitas CL 100,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=50,215C00,Colsanitas CL 100,
51,216A00 - Universidad Militar Nueva Granada,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=51,216A00,Universidad Militar Nueva Granada,
