"","X","Cenefa","Barrio","Frecuencia","Enlace","tipo","base_cenefas0","base_cenefas1","base_cenefas2","base_cenefas3","base_cenefas4","base_cenefas5"
"1",0,"001A01","Br. Rincón del Chicó",20,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=7",5,0,0,0,0,0,1
"2",1,"001B01","Br. Rincón del Chicó",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=8",3,0,0,0,1,0,0
"3",2,"093A02","Br. Estoril",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=12",3,0,0,0,1,0,0
"4",3,"093B02","Br. Estoril",6,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=13",3,0,0,0,1,0,0
"5",4,"093C02","Br. Estoril",9,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=14",4,0,0,0,0,1,0
"6",5,"122A01","Autopista Norte",20,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=11",5,0,0,0,0,0,1
"7",6,"136A02","C.C. Iserra 100",6,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=15",3,0,0,0,1,0,0
"8",7,"136B02","C.C. Iserra 100",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=16",3,0,0,0,1,0,0
"9",8,"136C02","C.C. Iserra 100",10,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=17",4,0,0,0,0,1,0
"10",9,"158A01","Br. Chicó Navarra",16,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=9",5,0,0,0,0,0,1
"11",10,"160A01","Escuela de Infantería",4,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=5",2,0,0,1,0,0,0
"12",11,"160B01","Escuela de Infantería",6,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=6",3,0,0,0,1,0,0
"13",12,"161A01","Urb. Conjunto de La 100",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3",3,0,0,0,1,0,0
"14",13,"161B01","Urb. Conjunto de La 100",6,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4",3,0,0,0,1,0,0
"15",14,"162A01","Escuela de Infantería",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1",3,0,0,0,1,0,0
"16",15,"162B01","Escuela de Infantería",8,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2",3,0,0,0,1,0,0
"17",16,"173A03","Br. Andes Norte",6,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=18",3,0,0,0,1,0,0
"18",17,"173B03","Br. Andes Norte",8,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=19",3,0,0,0,1,0,0
"19",18,"173C03","Pq. Andes Norte",9,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=20",4,0,0,0,0,1,0
"20",19,"242A01","Br. Santa Bibiana",20,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=10",5,0,0,0,0,0,1
"21",20,"001A00","C.C. Iserra 100",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=36",3,0,0,0,1,0,0
"22",21,"001A03","Br. Julio Flórez",6,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=21",3,0,0,0,1,0,0
"23",22,"001B00","C.C. Iserra 100",11,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=37",4,0,0,0,0,1,0
"24",23,"001B03","Br. Julio Flórez",8,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=22",3,0,0,0,1,0,0
"25",24,"001C00","C.C. Iserra 100",5,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=38",2,0,0,1,0,0,0
"26",25,"001C03","Br. Julio Flórez",9,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=23",4,0,0,0,0,1,0
"27",26,"165A03","Estación Suba",8,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=33",3,0,0,0,1,0,0
"28",27,"165B03","Estación Suba",10,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=34",4,0,0,0,0,1,0
"29",28,"165C03","Estación Suba",5,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=35",2,0,0,1,0,0,0
"30",29,"170A03","Br. Los Andes",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=27",3,0,0,0,1,0,0
"31",30,"170B03","Br. Los Andes",10,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=28",4,0,0,0,0,1,0
"32",31,"170C03","Br. Los Andes",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=29",3,0,0,0,1,0,0
"33",32,"171A03","Br. Los Andes",7,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=30",3,0,0,0,1,0,0
"34",33,"171B03","Br. Los Andes",10,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=31",4,0,0,0,0,1,0
"35",34,"171C03","Br. Los Andes",5,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=32",2,0,0,1,0,0,0
"36",35,"174A03","Br. Los Andes",6,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=24",3,0,0,0,1,0,0
"37",36,"174B03","Br. Los Andes",8,"https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=25",3,0,0,0,1,0,0
