"","cod_loc","nomb_loc","cod_upz","nom_upz","poblacion_u","densidad_ur","p0","p1","p2","p3","p4","p5","pt","q.p0","q.p1","q.p2","q.p3","q.p4","q.p5"
"1",7,"BOSA",85,"BOSA CENTRAL",221236,309.569740428,38,46,26,9,18,30,185,0.205405405405405,0.248648648648649,0.140540540540541,0.0486486486486487,0.0972972972972973,0.162162162162162
"2",19,"CIUDAD BOLIVAR",67,"LUCERO",162669,277.409159592,9,68,33,14,25,2,165,0.0545454545454545,0.412121212121212,0.2,0.0848484848484849,0.151515151515152,0.0121212121212121
"3",11,"SUBA",71,"TIBABUYES",222576,306.418065453,25,67,50,6,0,0,156,0.16025641025641,0.429487179487179,0.320512820512821,0.0384615384615385,0,0
"4",6,"TUNJUELITO",42,"VENECIA",144420,219.024920058,12,19,30,44,32,5,147,0.0816326530612245,0.129251700680272,0.204081632653061,0.299319727891156,0.217687074829932,0.0340136054421769
"5",11,"SUBA",28,"EL RINCON",302006,425.30735871,32,55,30,9,0,0,147,0.217687074829932,0.374149659863946,0.204081632653061,0.0612244897959184,0,0
"6",10,"ENGATIVA",30,"BOYACA REAL",121920,268.675374031,18,53,15,30,18,1,144,0.125,0.368055555555556,0.104166666666667,0.208333333333333,0.125,0.00694444444444444
"7",19,"CIUDAD BOLIVAR",69,"ISMAEL PERDOMO",163692,293.036581025,17,66,30,8,3,3,141,0.120567375886525,0.468085106382979,0.212765957446809,0.0567375886524823,0.0212765957446809,0.0212765957446809
"8",10,"ENGATIVA",73,"GARCES NAVAS",149186,268.783871617,14,28,42,14,13,10,137,0.102189781021898,0.204379562043796,0.306569343065693,0.102189781021898,0.0948905109489051,0.072992700729927
"9",8,"KENNEDY",48,"TIMIZA",147298,342.204666539,8,51,36,9,10,10,136,0.0588235294117647,0.375,0.264705882352941,0.0661764705882353,0.0735294117647059,0.0735294117647059
"10",10,"ENGATIVA",26,"LAS FERIAS",110859,234.204297324,9,39,20,25,13,4,135,0.0666666666666667,0.288888888888889,0.148148148148148,0.185185185185185,0.0962962962962963,0.0296296296296296
"11",2,"CHAPINERO",97,"CHICO LAGO",26291,62.2349627659,6,33,32,33,16,5,129,0.0465116279069767,0.255813953488372,0.248062015503876,0.255813953488372,0.124031007751938,0.0387596899224806
"12",7,"BOSA",84,"BOSA OCCIDENTAL",178960,415.818720334,2,31,32,23,13,13,125,0.016,0.248,0.256,0.184,0.104,0.104
"13",8,"KENNEDY",45,"CARVAJAL",96337,219.650105747,6,44,17,22,20,5,118,0.0508474576271186,0.372881355932203,0.144067796610169,0.186440677966102,0.169491525423729,0.0423728813559322
"14",8,"KENNEDY",47,"KENNEDY CENTRAL",96282,285.522465006,1,17,16,22,27,27,114,0.0087719298245614,0.149122807017544,0.140350877192982,0.192982456140351,0.236842105263158,0.236842105263158
"15",1,"USAQUEN",13,"LOS CEDROS",102364,152.267740971,11,36,22,35,9,1,114,0.0964912280701754,0.315789473684211,0.192982456140351,0.307017543859649,0.0789473684210526,0.0087719298245614
"16",8,"KENNEDY",46,"CASTILLA",125411,249.0557781,1,35,30,14,18,10,111,0.00900900900900901,0.315315315315315,0.27027027027027,0.126126126126126,0.162162162162162,0.0900900900900901
"17",1,"USAQUEN",9,"VERBENAL",96310,270.694567329,9,24,48,22,3,2,109,0.0825688073394495,0.220183486238532,0.440366972477064,0.201834862385321,0.0275229357798165,0.018348623853211
"18",12,"BARRIOS UNIDOS",98,"LOS ALCAZARES",82086,198.262433299,20,16,29,19,8,0,105,0.19047619047619,0.152380952380952,0.276190476190476,0.180952380952381,0.0761904761904762,0
